Database,Scale,Indexed,Operation_Type,Scenario_Name,Average_Time_Seconds,Median_Time_Seconds,StdDev_Time_Seconds
Redis,10000,False,CREATE,insert_patient,0.0012770666605016838,0.0012625999806914479,5.493131923436498e-05
Redis,10000,False,CREATE,insert_visit,0.0013184333317137014,0.0013168999867048115,5.602215723782844e-05
Redis,10000,False,CREATE,insert_diagnosis,0.0012819666784101476,0.0013232000055722892,7.268902793677367e-05
Redis,10000,False,CREATE,insert_prescription_with_items,0.001371633339052399,0.0013057000178378075,0.0001447232901315558
Redis,10000,False,CREATE,insert_performed_service,0.0013422000144297879,0.0013273000076878816,3.7556448908104615e-05
Redis,10000,False,CREATE,insert_test_result,0.0012766666671571632,0.0012337999942246825,6.505594264812817e-05
Redis,10000,False,READ,select_patient_by_id,0.0006557666735413173,0.0006171000131871551,5.703230012902349e-05
Redis,10000,False,READ,select_visits_with_doctor,0.0024890333297662437,0.0022299000120256096,0.0003813438599415896
Redis,10000,False,READ,select_visit_diagnoses,0.0013697666678732883,0.0012565999932121485,0.0006804947076414068
Redis,10000,False,READ,select_patient_full_history,0.002376400002200777,0.0019638999947346747,0.0006176871448816009
Redis,10000,False,READ,select_aggregated_costs,0.001682233327301219,0.00178240000968799,0.00017893497420891965
Redis,10000,False,READ,select_prescriptions_with_meds,0.0008124999973612527,0.0006316000071819872,0.000266508204135953
Redis,10000,False,UPDATE,update_patient_name,0.000599299994064495,0.0005985999887343496,2.258156154043922e-05
Redis,10000,False,UPDATE,update_visit_status,0.0006017000123392791,0.0005981000140309334,1.0677386066444013e-05
Redis,10000,False,UPDATE,update_service_price,0.0005880999960936606,0.0005871000175829977,4.707438431576077e-06
Redis,10000,False,UPDATE,update_diagnosis_notes,0.0011175333347637206,0.0011409999860916287,5.381638083364084e-05
Redis,10000,False,UPDATE,update_doctor_license,0.0005635333363898098,0.0005800999933853745,3.3432151869939125e-05
Redis,10000,False,UPDATE,update_department_phone,0.0005539333311996112,0.0005421999958343804,4.014028405209764e-05
Redis,10000,False,DELETE,delete_test_result,0.0013139666698407382,0.0012549000093713403,0.00017735061220254067
Redis,10000,False,DELETE,delete_diagnosis,0.0011569000004480283,0.0011684000201057643,2.0501865107551458e-05
Redis,10000,False,DELETE,delete_patient,0.0013040999959533413,0.0013026999949943274,9.522943802401152e-06
Redis,10000,False,DELETE,delete_performed_service,0.0011585333462183673,0.0011537000245880336,1.0107542401756984e-05
Redis,10000,False,DELETE,delete_prescription,0.0011635333260831733,0.0011501999979373068,3.477866943125483e-05
Redis,10000,False,DELETE,delete_visit_cascade,0.0013286666653584689,0.0012679999927058816,0.00011934626194287397
